ID,Name,Type,Phase,Frozen,Duration,Start time,Relative time,Average rating,Round number,Division,Date
"2081","Codeforces Round 1010 (Div. 1, Unrated)","CF","FINISHED","false","10800","1742049300","544126","2837.5","1010","1","3/15/2025"
"2074","Codeforces Round 1009 (Div. 3)","ICPC","FINISHED","false","9000","1741703700","889726","1400","1009","3","3/11/2025"
"2077","Codeforces Round 1008 (Div. 1)","CF","FINISHED","false","9000","1741617900","975526","2614.285714285714","1008","1","3/10/2025"
"2071","Codeforces Round 1007 (Div. 2)","CF","FINISHED","false","8100","1740753300","1840126","1885.7142857142858","1007","2","2/28/2025"
"2070","Educational Codeforces Round 175 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1740666900","1926526","1700","175","2","2/27/2025"
"2072","Codeforces Round 1006 (Div. 3)","ICPC","FINISHED","false","8100","1740494100","2099326","1371.4285714285713","1006","3","2/25/2025"
"2069","Educational Codeforces Round 174 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1739889300","2704126","1733.3333333333333","174","2","2/18/2025"
"2064","Codeforces Round 1005 (Div. 2)","CF","FINISHED","false","7200","1739716500","2876926","1683.3333333333333","1005","2","2/16/2025"
"2066","Codeforces Round 1004 (Div. 1)","CF","FINISHED","false","7200","1739284500","3308926","2500","1004","1","2/11/2025"
"2065","Codeforces Round 1003 (Div. 4)","ICPC","FINISHED","false","8100","1739111700","3481726","1377.7777777777778","1003","4","2/9/2025"
"2059","Codeforces Round 1002 (Div. 2)","CF","FINISHED","false","7200","1738506900","4086526","1833.3333333333333","1002","2","2/2/2025"
"2062","Ethflow Round 1 (Codeforces Round 1001, Div. 1 + Div. 2)","CF","FINISHED","false","9000","1737902100","4691326","2222.222222222222","1001","1","1/26/2025"
"2063","Codeforces Round 1000 (Div. 2)","CF","FINISHED","false","7200","1737547500","5045926","1842.857142857143","1000","2","1/22/2025"
"2061","IAEPC Preliminary Contest (Codeforces Round 999, Div. 1 + Div. 2)","CF","FINISHED","false","10800","1737383700","5209726","2372.7272727272725","999","1","1/20/2025"
"2060","Codeforces Round 998 (Div. 3)","ICPC","FINISHED","false","9000","1737297300","5296126","1414.2857142857142","998","3","1/19/2025"
"2056","Codeforces Round 997 (Div. 2)","CF","FINISHED","false","7200","1737124500","5468926","1957.142857142857","997","2","1/17/2025"
"2055","Codeforces Round 996 (Div. 2)","CF","FINISHED","false","7200","1736692500","5900926","1866.6666666666667","996","2","1/12/2025"
"2043","Educational Codeforces Round 173 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1735050900","7542526","1900","173","2","12/24/2024"
"2051","Codeforces Round 995 (Div. 3)","ICPC","FINISHED","false","8100","1734878100","7715326","1357.142857142857","995","3","12/22/2024"
"2049","Codeforces Round 994 (Div. 2)","CF","FINISHED","false","7200","1734705300","7888126","1766.6666666666667","994","2","12/20/2024"
"2044","Codeforces Round 993 (Div. 4)","ICPC","FINISHED","false","8100","1734273300","8320126","1377.7777777777778","993","4","12/15/2024"
"2040","Codeforces Round 992 (Div. 2)","CF","FINISHED","false","7200","1733668500","8924926","1683.3333333333333","992","2","12/8/2024"
"2050","Codeforces Round 991 (Div. 3)","ICPC","FINISHED","false","8100","1733409300","9184126","1357.142857142857","991","3","12/5/2024"
